Machine_ID,Temperature,Run_Time,Downtime_Flag
M0001,63.36,189.61,1
M0002,75.93,182.13,1
M0003,118.33,248.76,0
M0004,106.0,248.11,1
M0005,84.04,179.88,1
M0006,103.96,42.59,0
M0007,57.35,104.98,0
M0008,72.86,415.71,0
M0009,60.33,155.99,0
M0010,97.32,68.53,0
M0011,109.79,317.63,0
M0012,52.12,492.65,0
M0013,74.71,263.46,0
M0014,61.94,10.96,1
M0015,86.8,81.96,1
M0016,105.33,179.03,1
M0017,114.94,403.09,1
M0018,82.4,443.0,1
M0019,68.43,498.86,1
M0020,56.96,192.34,1
M0021,119.99,404.72,1
M0022,83.22,143.5,1
M0023,104.64,388.09,1
M0024,93.64,16.63,1
M0025,119.14,50.55,0
M0026,62.96,417.64,1
M0027,94.07,35.14,1
M0028,68.14,233.06,0
M0029,78.64,457.15,0
M0030,102.41,458.91,1
M0031,86.72,249.05,1
M0032,54.04,453.8,1
M0033,69.93,25.82,0
M0034,64.75,318.63,1
M0035,63.06,53.86,0
M0036,60.59,394.93,1
M0037,83.65,283.86,0
M0038,85.67,155.98,1
M0039,102.33,38.25,0
M0040,75.52,473.55,0
M0041,81.97,476.09,0
M0042,110.46,143.02,1
M0043,99.56,245.6,1
M0044,90.83,161.5,0
M0045,114.28,417.18,1
M0046,106.97,369.18,1
M0047,76.17,146.84,0
M0048,95.91,385.41,1
M0049,57.4,186.41,0
M0050,51.54,246.38,1
M0051,67.66,84.66,0
M0052,107.15,438.18,1
M0053,91.03,168.25,0
M0054,107.8,94.92,0
M0055,62.01,236.59,1
M0056,66.93,371.76,0
M0057,102.14,125.14,1
M0058,52.74,430.01,0
M0059,111.2,129.58,1
M0060,107.55,348.95,0
M0061,114.29,139.39,0
M0062,71.43,450.29,0
M0063,77.29,422.91,1
M0064,112.09,139.73,1
M0065,91.27,42.63,1
M0066,118.74,296.25,1
M0067,83.16,215.53,0
M0068,71.55,189.9,1
M0069,91.63,323.0,0
M0070,73.33,62.43,0
M0071,83.59,355.62,1
M0072,78.81,399.35,1
M0073,90.33,98.72,1
M0074,53.14,352.57,0
M0075,70.47,491.51,0
M0076,56.86,200.57,1
M0077,57.53,250.39,0
M0078,94.79,303.67,0
M0079,107.82,322.54,1
M0080,80.25,251.59,0
M0081,76.67,76.23,0
M0082,57.9,69.03,0
M0083,88.53,465.39,1
M0084,76.89,158.44,1
M0085,74.5,33.2,0
M0086,89.39,148.49,1
M0087,93.51,436.02,1
M0088,60.5,372.34,1
M0089,68.57,214.08,0
M0090,97.49,241.03,1
M0091,91.89,106.41,0
M0092,66.38,238.9,1
M0093,65.79,20.5,1
M0094,83.91,277.92,1
M0095,64.6,119.18,0
M0096,57.99,398.52,0
M0097,97.06,178.56,0
M0098,112.35,77.59,1
M0099,82.48,387.16,0
M0100,69.99,387.33,1
M0101,69.21,422.63,0
M0102,60.42,146.73,1
M0103,68.95,471.44,1
M0104,50.5,404.47,1
M0105,84.92,407.44,1
M0106,85.48,198.59,1
M0107,68.15,412.29,0
M0108,51.12,71.92,1
M0109,114.36,175.77,0
M0110,112.83,393.37,0
M0111,110.77,97.37,0
M0112,58.89,77.66,1
M0113,88.85,361.65,0
M0114,54.23,61.57,1
M0115,53.39,410.58,1
M0116,91.58,488.41,0
M0117,113.46,227.19,0
M0118,99.66,199.23,1
M0119,80.14,111.94,0
M0120,105.23,269.5,0
M0121,105.69,333.3,1
M0122,118.43,383.29,0
M0123,90.22,78.59,0
M0124,109.67,89.31,1
M0125,53.56,443.17,0
M0126,99.99,93.66,1
M0127,92.53,184.8,0
M0128,82.49,262.15,0
M0129,51.84,102.26,0
M0130,58.14,178.76,1
M0131,76.32,317.55,1
M0132,118.57,329.01,1
M0133,93.87,230.33,0
M0134,103.72,316.5,1
M0135,101.72,261.67,1
M0136,95.16,183.11,0
M0137,84.32,132.68,1
M0138,99.35,153.49,0
M0139,103.18,237.3,0
M0140,80.58,298.49,0
M0141,95.37,427.68,1
M0142,110.56,406.85,0
M0143,88.83,427.0,0
M0144,109.11,85.72,0
M0145,98.8,74.12,0
M0146,99.34,328.67,0
M0147,94.74,358.98,0
M0148,63.89,100.55,0
M0149,94.59,473.73,0
M0150,76.48,335.73,1
M0151,90.03,99.55,0
M0152,112.06,472.08,0
M0153,98.46,475.44,0
M0154,102.65,382.49,1
M0155,62.27,385.32,0
M0156,71.17,78.24,1
M0157,90.32,452.02,1
M0158,58.12,49.19,0
M0159,103.44,58.89,0
M0160,65.08,493.44,1
M0161,57.39,244.1,0
M0162,81.44,91.9,1
M0163,66.41,400.05,1
M0164,93.27,185.83,0
M0165,57.63,218.8,1
M0166,56.76,215.59,1
M0167,84.55,110.45,0
M0168,116.01,101.03,0
M0169,87.34,447.52,0
M0170,67.24,147.87,0
M0171,112.67,80.72,0
M0172,59.91,277.65,0
M0173,116.49,151.99,0
M0174,119.72,265.14,1
M0175,114.0,327.21,1
M0176,72.78,271.57,0
M0177,70.6,85.85,0
M0178,85.71,185.65,1
M0179,104.61,145.81,1
M0180,74.54,353.17,0
M0181,54.64,32.48,0
M0182,89.46,463.35,0
M0183,73.44,407.84,0
M0184,80.09,196.56,1
M0185,68.49,12.33,0
M0186,62.82,202.58,0
M0187,111.16,25.28,0
M0188,107.02,84.11,1
M0189,116.09,422.88,0
M0190,112.04,483.67,0
M0191,110.35,430.88,0
M0192,85.88,275.31,1
M0193,62.42,372.84,1
M0194,89.85,332.95,1
M0195,84.38,286.71,1
M0196,85.21,464.99,1
M0197,60.35,165.41,0
M0198,91.21,392.27,0
M0199,58.32,318.33,1
M0200,105.87,302.14,1
M0201,67.69,198.99,1
M0202,78.06,246.34,1
M0203,88.8,90.53,1
M0204,105.35,360.9,0
M0205,109.73,142.42,1
M0206,55.3,317.88,1
M0207,109.67,83.25,0
