Machine_ID,Temperature,Run_Time,Downtime_Flag
M0001,97.81,122.52,0
M0002,72.48,235.85,0
M0003,74.53,261.65,1
M0004,76.5,40.21,1
M0005,71.65,104.57,0
M0006,61.79,198.08,1
M0007,91.1,102.75,1
M0008,90.16,474.42,1
M0009,111.43,304.74,0
M0010,86.85,34.51,1
M0011,57.56,189.65,0
M0012,108.54,357.53,0
M0013,74.85,443.83,0
M0014,115.71,26.43,1
M0015,108.94,381.38,1
M0016,104.15,221.22,0
M0017,89.13,487.66,0
M0018,118.46,347.03,1
M0019,115.72,10.65,0
M0020,101.33,254.55,1
M0021,118.27,254.63,0
M0022,57.54,127.04,0
M0023,90.86,202.17,0
M0024,68.0,48.12,0
M0025,101.79,333.48,0
M0026,72.66,140.2,0
M0027,88.08,128.52,0
M0028,83.44,70.18,0
M0029,111.86,487.5,0
M0030,82.68,313.7,0
M0031,76.31,382.74,0
M0032,55.49,381.87,0
M0033,51.38,49.15,0
M0034,106.36,238.09,1
M0035,82.96,12.89,0
M0036,51.24,346.57,0
M0037,87.46,464.73,1
M0038,70.29,231.69,0
M0039,57.69,145.27,1
M0040,59.62,244.69,1
M0041,100.38,91.55,1
M0042,57.32,406.46,0
M0043,52.21,448.96,0
M0044,112.06,140.96,0
M0045,115.69,84.86,0
M0046,97.49,463.75,0
M0047,80.9,33.36,0
M0048,89.77,194.19,0
M0049,96.24,450.47,0
M0050,105.73,491.19,1
M0051,86.4,453.25,1
M0052,98.98,93.11,1
M0053,117.68,59.88,1
M0054,53.03,422.4,0
M0055,76.77,426.08,0
M0056,90.4,304.4,1
M0057,55.76,254.82,0
M0058,63.2,201.22,0
M0059,59.51,170.99,0
M0060,89.1,201.39,1
M0061,97.36,12.42,0
M0062,61.85,470.97,0
M0063,61.22,252.45,1
M0064,85.32,226.97,0
M0065,69.49,219.07,0
M0066,110.58,60.88,1
M0067,56.48,276.89,1
M0068,106.8,68.67,1
M0069,54.09,193.71,0
M0070,93.79,287.24,1
M0071,117.97,139.63,1
M0072,63.9,64.9,0
M0073,64.39,388.3,0
M0074,51.78,439.02,0
M0075,96.02,344.41,0
